filename,height,width,aspect_ratio,compression_ratio,file_size,image_area,r-mean,g-mean,b-mean,r-var,g-var,b-var,r-skew,g-skew,b-skew,r-kurt,g-kurt,b-kurt,entr-color,h-mean,s-mean,v-mean,h-var,s-var,v-var,h-skew,s-skew,v-skew,h-kurt,s-kurt,v-kurt,entr-hsv,lbp,entr-hog,edges,avg-edge-length,noise-snr,entr-noise,spam
0.jpg,200,180,0.9,0.3721111111111111,13396,36000,100.10861111111112,74.44733333333333,66.62444444444445,8387.146092515432,7463.987948444445,7271.521513580246,0.430304544115302,0.9798277781697531,1.1845510058897615,-1.291897861316864,-0.48872197883153756,-0.05714656797017392,[1.09861229        nan 1.09861229 ... 1.09861229 1.09861229 1.09861229],42.34736111111111,119.19455555555555,101.76941666666667,3580.9468680362647,9908.380592580248,8342.737414659721,1.2786986009275496,0.10892446177755814,0.4272689022305528,0.0626729316195167,-1.5770232065741743,-1.2944228038338907,[ 0. nan  0. ...  0.  0.  0.],1.5765521162696507,8.945696781977928,6509,117.84821428571429,68173.53565584714,9.95933065206247,0
1.jpg,200,200,1.0,0.222225,8889,40000,140.7186,141.219475,149.63835,5601.15941404,5622.880505724375,5154.0493092775,0.039720968544525045,0.13126199816560022,0.12115451790060199,-1.0175970828754324,-1.0663886792313861,-1.0391420773493736,[1.08688822 1.08724239 1.08705025 ... 1.09840149 1.0983602  1.09837993],66.500025,35.771875,153.567775,2550.034749999375,2490.694133984375,5013.838406549375,0.15476528860946132,2.2578410665137865,0.05040836692251599,-1.3935951592464793,4.904537807058107,-0.9916888992757795,[0.9911519  0.98665109 0.98345339 ... 0.50104691 0.54177137 0.51524077],1.7271780506250272,8.941402058484492,4056,44.24770642201835,63749.837443940705,10.434323165833707,0
10.jpg,180,180,1.0,0.25114197530864196,8137,32400,228.58015432098765,232.5388888888889,224.94904320987655,2980.4090691119877,2447.4263271604937,3234.1797799487504,-2.4990128652411365,-2.6948137345931658,-2.3138738564242805,5.2571332791522,6.562337643572036,4.451951008175051,[1.09861229 1.09861229 1.09861229 ... 1.09861229 1.09861229 1.09861229],41.00385802469136,15.935956790123457,233.96114197530864,2115.9272382020645,992.8065466154169,2410.8219777082386,1.078074586348814,3.602825685425727,-2.7373046223520934,0.3316898035674347,16.87882874260601,6.689297364521535,[0. 0. 0. ... 0. 0. 0.],1.5791337397316112,8.435327929655486,3591,280.85714285714283,64641.2450067856,10.349562539565373,0
100.jpg,200,180,0.9,0.30719444444444444,11059,36000,165.18377777777778,144.86569444444444,144.1138611111111,3395.237614617284,3836.743600906636,3596.979952314043,-1.218995791504504,-0.8288323438703457,-0.8193305255789026,1.2581197655419345,-0.36337103128559667,-0.34570601019589287,[1.09861229 1.09861229 1.09861229 ... 1.09850993 1.0985089  1.09850786],72.80469444444445,61.717194444444445,171.0058611111111,4403.829327962191,5290.308437684414,2742.0538823140428,0.2835616616990616,1.164556677109647,-1.0441690995981179,-1.4901193433555646,0.10738506162502715,1.0199643817700617,[0.         0.         0.         ... 0.38506667 0.38632184 0.38758606],1.603914494349839,8.770617299629713,5591,218.47916666666666,56574.56338826854,10.383818862026239,0
1000.jpg,200,180,0.9,0.3471388888888889,12497,36000,120.317,88.86047222222223,99.29363888888889,5401.863344333333,4701.820670888117,5078.639637314044,0.13701160580574773,0.7634664041174778,0.5280983239147167,-1.1932576298138486,-0.5433589179509979,-0.7017391836023754,[0.93514907 0.99511507 1.0181334  ... 1.06073147 1.06073147 1.06073147],71.92905555555555,142.22233333333332,143.29325,3728.7940224413583,4988.699123444445,4268.026698881945,0.14729987193348396,-0.20262111842069258,-0.0474916948020423,-1.5957916005174464,-1.0027323473392364,-0.9039359001455378,[1.00532433 1.03115282 1.04969666 ... 0.8583636  0.8583636  0.8583636 ],1.6580487785867777,9.023933285093246,7987,60.66315789473684,58759.093017590094,10.235974360164478,0
1001.jpg,200,200,1.0,0.351975,14079,40000,115.703825,103.56645,121.6398,5050.591355369375,5079.3629843975,4420.222405959999,0.6698283716785065,0.682244589612623,0.09943962327597725,-0.8256159985379061,-0.7886801569311368,-0.6590718534688795,[1.09850462 1.09854847 1.0985467  ... 1.09861229 1.09861229 1.09861229],82.72635,113.509225,143.0302,2708.2767656775,4725.990964899375,3864.0889379599994,-0.18903419849126468,0.07739881887360915,0.16359646981470785,-1.661763014879117,-0.8419752145858532,-0.7028935181870932,[0.79826175 0.75950949 0.77056747 ... 0.         0.         0.        ],1.566661620865358,9.08173769822848,8161,176.95652173913044,60118.64589095067,10.376605941725597,0
1002.jpg,180,180,1.0,0.3616666666666667,11718,32400,106.42388888888888,112.35302469135803,107.62981481481482,2185.6829725308644,2338.357101962353,2911.449629595336,-0.347785294056982,-0.3902198034631836,-0.2009517039172517,-0.6809217993119057,-0.5694098110647974,-0.9473079711242804,[1.09849371 1.09849749 1.09846413 ... 1.09404742 1.08917825 1.08867891],80.40135802469136,48.053703703703704,117.56077160493827,1948.4158253162627,2385.2314368998627,2438.069393231786,-0.054760501412601297,2.183486967756295,-0.3350337560070664,-0.8763630677076684,5.0322143833676325,-0.6346608973314991,[0.74190634 0.73854637 0.80094724 ... 0.61829182 0.71968299 0.70271027],1.6700027387183556,9.090286933362032,8995,76.34078212290503,52264.220426089356,10.24571945328962,0
1003.jpg,220,220,1.0,0.20429752066115703,9888,48400,86.24111570247933,93.78853305785124,120.82580578512396,3088.033888011406,2449.7431123108904,3424.9717844746774,0.8020648653536834,0.42853974449850313,-0.18988941839852924,-0.34752221442713527,-0.4349162445867645,-1.2871390904118212,[0.97573978 0.97573978 0.97573978 ... 1.05292257 1.05292257 1.05292257],107.6247520661157,81.98126033057851,122.39896694214876,1019.0099327897684,3557.569793452889,3407.2343790980804,-1.6166385000369423,0.3784990926268422,-0.19044592855705897,3.1581714771949922,-1.3203499131145326,-1.2339257131828953,[1.07368333 1.07368333 1.07368333 ... 0.83096739 0.83096739 0.83096739],1.7238896413227547,9.149911289269827,5908,26.53488372093023,53259.7650727937,10.597956340582636,0
1004.jpg,200,180,0.9,0.3863888888888889,13910,36000,178.52641666666668,133.78344444444446,93.97183333333334,3866.2696910486106,5194.467548135803,6193.4445399722235,-0.5533346819299866,0.21033191240857124,0.7288035255102501,-0.4637649548183931,-1.0128773039794425,-0.6482061956671248,[0.77398596 0.8713688  0.96366049 ... 1.09792562 1.09760745 1.09770253],25.895944444444446,136.7756388888889,179.07230555555554,1368.5631168858024,6110.237134314044,3888.782910795525,3.218427935719234,-0.17362660025322654,-0.5422306696693704,9.54826818661881,-1.1390001927361169,-0.4827520893274069,[0.79345691 0.8257393  0.83565384 ... 0.86964417 0.90202653 0.89422315],1.6890399215833725,9.064534410096456,8051,136.9009009009009,61641.3627869576,10.35812542879476,0
1005.jpg,200,200,1.0,0.26125,10450,40000,145.5388,132.232075,107.373325,5323.772494559999,3742.378366194375,2500.2216034443745,-0.1797694579009759,0.16506306530647336,0.6789991181037606,-1.034363302227519,-0.6961928787476683,0.01895890818080792,[1.09564931 1.09502169 1.09516917 ... 1.0670371  1.0670371  1.0670371 ],41.291775,94.673925,153.71215,1394.2227423493748,1569.355450094375,4366.0329923775,1.614845005720017,1.0494517088144646,-0.08009503427229124,1.4681064720339014,2.7665002131257204,-1.071569289103503,[1.03701045 1.0569076  1.06485359 ... 0.85627757 0.85627757 0.85627757],1.5983312177794984,8.899064574776126,5289,108.26760563380282,58060.22239064793,10.458554897584193,0
